大カテゴリー,中カテゴリー,メニュータイトル,データ参照先,タイルレイヤー名,データ種別,legendType,Tippecanoeオプション,fill,stroke,stroke-width,marker-color,marker-symbol,アイコン作成説明列,fill-pattern,title,minzoom,maxzoom,printzoom,ダウンロードコード,テストTippecannoeコード
リアルタイム防災情報,発令中の避難情報,土砂災害,EvacuationInformationSediment,EvacuationInformationSediment,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"3高齢者等避難: #ff2800
4避難指示: #aa00aa
5緊急安全確保: #0c000c",,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationInformationSediment',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationInformationSediment""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,発令中の避難情報,洪水,EvacuationInformationFlood,EvacuationInformationFlood,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"3高齢者等避難: #ff2800
4避難指示: #aa00aa
5緊急安全確保: #0c000c",,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationInformationFlood',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationInformationFlood""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,発令中の避難情報,高潮,EvacuationInformationStormSurge,EvacuationInformationStormSurge,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"3高齢者等避難: #ff2800
4避難指示: #aa00aa
5緊急安全確保: #0c000c",,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationInformationStormSurge',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationInformationStormSurge""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,発令中の避難情報,地震,EvacuationInformationEarthquake,EvacuationInformationEarthquake,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"3高齢者等避難: #ff2800
4避難指示: #aa00aa
5緊急安全確保: #0c000c",,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationInformationEarthquake',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationInformationEarthquake""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,発令中の避難情報,津波,EvacuationInformationTsunami,EvacuationInformationTsunami,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"3高齢者等避難: #ff2800
4避難指示: #aa00aa
5緊急安全確保: #0c000c",,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationInformationTsunami',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationInformationTsunami""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,発令中の避難情報,原子力,EvacuationInformationNuclearPower,EvacuationInformationNuclearPower,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"3高齢者等避難: #ff2800
4避難指示: #aa00aa
5緊急安全確保: #0c000c",,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationInformationNuclearPower',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationInformationNuclearPower""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,,避難所開設状況,EvacuationShelter,EvacuationShelter,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アイコン,,,,,,,,,,,curl -X GET -o data.geojson 'EvacuationShelter',"tippecanoe -o ""output.mbtiles"" -l ""EvacuationShelter""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,気象情報,天候,WeatherForecast,WeatherForecast,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アラート,,,,,,,,,,,curl -X GET -o data.geojson 'WeatherForecast',"tippecanoe -o ""output.mbtiles"" -l ""WeatherForecast""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,気象情報,警報・注意報,WeatherAlert,WeatherAlert,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アラート,,,,,,,,,,,curl -X GET -o data.geojson 'WeatherAlert',"tippecanoe -o ""output.mbtiles"" -l ""WeatherAlert""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,雨量・水位観測情報,雨量計,PrecipitationGauge,PrecipitationGauge,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アイコン,,,,,,,,,,,curl -X GET -o data.geojson 'PrecipitationGauge',"tippecanoe -o ""output.mbtiles"" -l ""PrecipitationGauge""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
